result_id,randomized,type,count,inserted,insert_time,search,search_time,removed,remove_time
9,True,AVL,25000,25000,9684,6209,4,5469,6611
9,True,AVL,30000,30000,13845,8930,5,7819,10746
9,True,BST,10000,10000,3,998,1,965,3
9,True,BST,15000,15000,5,2252,2,1974,5
9,True,BST,20000,20000,7,3913,3,3528,7
9,True,BST,25000,25000,9,6209,5,5469,10
9,True,BST,30000,30000,12,8930,6,7819,12
9,True,LIST,10000,10000,830,1007,808,936,1524
9,True,LIST,15000,15000,2383,2236,2098,2111,3744
9,True,LIST,20000,20000,4486,4050,4302,3629,6599
9,True,LIST,25000,25000,7970,6265,6771,5588,11020
9,True,LIST,30000,30000,13627,9081,10944,7725,15728
10,False,AVL,10000,9872,643,1041,2,914,402
10,False,AVL,15000,14723,1528,2203,2,2006,1296
10,False,AVL,20000,19486,2781,3885,3,3520,3398
10,False,AVL,25000,24207,4750,6030,4,5340,5738
10,False,AVL,30000,28836,7307,8616,5,7478,9909
10,False,BST,10000,9872,4,1041,2,914,4
10,False,BST,15000,14723,6,2203,3,1999,6
10,False,BST,20000,19486,8,3885,5,3425,9
10,False,BST,25000,24207,10,6030,6,5228,11
10,False,BST,30000,28836,10,8616,7,7288,12
10,False,LIST,10000,9871,490,957,788,879,1234
10,False,LIST,15000,14710,1230,2131,1920,2022,2853
10,False,LIST,20000,19484,2222,3844,3247,3474,4783
10,False,LIST,25000,24194,3760,6029,5162,5392,6969
10,False,LIST,30000,28809,5265,8603,7221,7538,9595
10,True,AVL,10000,10000,1250,998,1,965,414
10,True,AVL,15000,15000,3085,2252,2,2065,1406
10,True,AVL,20000,20000,5979,3913,3,3636,3463
10,True,AVL,25000,25000,9564,6209,4,5469,6419
10,True,AVL,30000,30000,13900,8930,10,7819,12340
10,True,BST,10000,10000,3,998,1,965,3
10,True,BST,15000,15000,5,2252,2,1974,5
10,True,BST,20000,20000,7,3913,4,3528,7
10,True,BST,25000,25000,9,6209,4,5469,9
10,True,BST,30000,30000,12,8930,6,7819,12
10,True,LIST,10000,10000,902,1007,877,936,1688
10,True,LIST,15000,15000,2560,2236,1954,2111,3482
10,True,LIST,20000,20000,4458,4050,3745,3629,6536
10,True,LIST,25000,25000,7517,6265,5928,5588,9826
10,True,LIST,30000,30000,11442,9081,8808,7725,16064
11,False,AVL,10000,9872,613,1041,1,914,346
11,False,AVL,15000,14723,1378,2203,2,2006,1308
11,False,AVL,20000,19486,2870,3885,3,3520,2937
11,False,AVL,25000,24207,4527,6030,4,5340,5800
11,False,AVL,30000,28836,6807,8616,5,7478,9694
11,False,BST,10000,9872,4,1041,2,914,4
11,False,BST,15000,14723,6,2203,3,1999,7
11,False,BST,20000,19486,8,3885,4,3425,8
11,False,BST,25000,24207,10,6030,6,5228,11
11,False,BST,30000,28836,11,8616,7,7288,13
11,False,LIST,10000,9871,530,957,831,879,1299
11,False,LIST,15000,14710,1232,2131,1882,2022,2931
11,False,LIST,20000,19484,2316,3844,3295,3474,4782
11,False,LIST,25000,24194,3494,6029,4995,5392,6997
11,False,LIST,30000,28809,5417,8603,7373,7538,9977
11,True,AVL,10000,10000,1253,998,1,965,429
11,True,AVL,15000,15000,3182,2252,3,2065,1491
11,True,AVL,20000,20000,6211,3913,3,3636,3692
11,True,AVL,25000,25000,10087,6209,6,5469,7561
11,True,AVL,30000,30000,14761,8930,6,7819,11271
11,True,BST,10000,10000,3,998,1,965,3
11,True,BST,15000,15000,6,2252,3,1974,6
11,True,BST,20000,20000,8,3913,4,3528,7
11,True,BST,25000,25000,9,6209,5,5469,10
11,True,BST,30000,30000,12,8930,6,7819,12
11,True,LIST,10000,10000,868,1007,813,936,1566
11,True,LIST,15000,15000,2330,2236,1997,2111,3727
11,True,LIST,20000,20000,4609,4050,3799,3629,7545
11,True,LIST,25000,25000,8322,6265,7504,5588,11735
11,True,LIST,30000,30000,12210,9081,8683,7725,13919
12,False,AVL,10000,9872,544,1041,2,914,346
12,False,AVL,15000,14723,1457,2203,3,2006,1443
12,False,AVL,20000,19486,2748,3885,3,3520,3421
12,False,AVL,25000,24207,5088,6030,8,5340,5844
12,False,AVL,30000,28836,6867,8616,6,7478,10280
12,False,BST,10000,9872,4,1041,2,914,3
12,False,BST,15000,14723,6,2203,3,1999,5
12,False,BST,20000,19486,7,3885,4,3425,8
12,False,BST,25000,24207,9,6030,5,5228,10
12,False,BST,30000,28836,10,8616,7,7288,12
12,False,LIST,10000,9871,487,957,791,879,1222
12,False,LIST,15000,14710,1203,2131,1859,2022,2742
12,False,LIST,20000,19484,2218,3844,3298,3474,4690
12,False,LIST,25000,24194,3615,6029,5183,5392,7997
12,False,LIST,30000,28809,6163,8603,7715,7538,10494
12,True,AVL,10000,10000,1238,998,1,965,423
12,True,AVL,15000,15000,3092,2252,2,2065,1436
12,True,AVL,20000,20000,5899,3913,3,3636,3437
12,True,AVL,25000,25000,9672,6209,4,5469,6468
12,True,AVL,30000,30000,14468,8930,6,7819,11345
12,True,BST,10000,10000,3,998,1,965,3
12,True,BST,15000,15000,5,2252,3,1974,6
12,True,BST,20000,20000,8,3913,4,3528,8
12,True,BST,25000,25000,10,6209,5,5469,11
12,True,BST,30000,30000,12,8930,6,7819,12
12,True,LIST,10000,10000,824,1007,793,936,1524
12,True,LIST,15000,15000,2245,2236,1952,2111,3523
12,True,LIST,20000,20000,4284,4050,3595,3629,6758
12,True,LIST,25000,25000,7525,6265,6537,5588,10142
12,True,LIST,30000,30000,12785,9081,10260,7725,14890
13,False,AVL,10000,9872,585,1041,1,914,374
13,False,AVL,15000,14723,1436,2203,2,2006,1301
13,False,AVL,20000,19486,2829,3885,3,3520,3106
13,False,AVL,25000,24207,4788,6030,5,5340,5971
13,False,AVL,30000,28836,6713,8616,5,7478,9375
13,False,BST,10000,9872,4,1041,2,914,3
13,False,BST,15000,14723,6,2203,3,1999,6
13,False,BST,20000,19486,7,3885,4,3425,8
13,False,BST,25000,24207,8,6030,5,5228,10
13,False,BST,30000,28836,10,8616,7,7288,12
13,False,LIST,10000,9871,491,957,843,879,1284
13,False,LIST,15000,14710,1206,2131,1815,2022,2833
13,False,LIST,20000,19484,2248,3844,3306,3474,4802
13,False,LIST,25000,24194,3625,6029,5054,5392,7133
13,False,LIST,30000,28809,5847,8603,7516,7538,9848
13,True,AVL,10000,10000,1238,998,1,965,466
13,True,AVL,15000,15000,3147,2252,3,2065,1501
13,True,AVL,20000,20000,6024,3913,4,3636,3456
13,True,AVL,25000,25000,9913,6209,4,5469,6800
13,True,AVL,30000,30000,14591,8930,6,7819,12277
13,True,BST,10000,10000,3,998,1,965,3
13,True,BST,15000,15000,6,2252,3,1974,6
13,True,BST,20000,20000,8,3913,4,3528,8
13,True,BST,25000,25000,10,6209,5,5469,10
13,True,BST,30000,30000,12,8930,6,7819,12
13,True,LIST,10000,10000,935,1007,868,936,1649
13,True,LIST,15000,15000,2453,2236,2086,2111,3881
13,True,LIST,20000,20000,4724,4050,3689,3629,6551
13,True,LIST,25000,25000,7988,6265,6293,5588,9670
13,True,LIST,30000,30000,11710,9081,10371,7725,15723
14,False,AVL,10000,9872,552,1041,1,914,350
14,False,AVL,15000,14723,1443,2203,3,2006,1327
14,False,AVL,20000,19486,2830,3885,3,3520,3160
14,False,AVL,25000,24207,4732,6030,5,5340,5869
14,False,AVL,30000,28836,7110,8616,7,7478,10278
14,False,BST,10000,9872,4,1041,2,914,3
14,False,BST,15000,14723,6,2203,3,1999,6
14,False,BST,20000,19486,8,3885,5,3425,9
14,False,BST,25000,24207,10,6030,6,5228,11
14,False,BST,30000,28836,11,8616,7,7288,13
14,False,LIST,10000,9871,566,957,816,879,1325
14,False,LIST,15000,14710,1270,2131,1899,2022,2820
14,False,LIST,20000,19484,2281,3844,3447,3474,4931
14,False,LIST,25000,24194,3741,6029,5267,5392,7238
14,False,LIST,30000,28809,5521,8603,7594,7538,11678
14,True,AVL,10000,10000,1401,998,2,965,437
14,True,AVL,15000,15000,3293,2252,2,2065,1491
14,True,AVL,20000,20000,5932,3913,3,3636,3465
14,True,AVL,25000,25000,9933,6209,5,5469,6518
14,True,AVL,30000,30000,14406,8930,5,7819,11278
14,True,BST,10000,10000,3,998,1,965,3
14,True,BST,15000,15000,5,2252,3,1974,5
14,True,BST,20000,20000,8,3913,4,3528,7
14,True,BST,25000,25000,10,6209,5,5469,11
14,True,BST,30000,30000,12,8930,6,7819,12
14,True,LIST,10000,10000,885,1007,804,936,1535
14,True,LIST,15000,15000,2279,2236,2203,2111,3458
14,True,LIST,20000,20000,4329,4050,3573,3629,6415
14,True,LIST,25000,25000,7782,6265,6204,5588,10631
14,True,LIST,30000,30000,11651,9081,8711,7725,13370
15,False,AVL,10000,9872,540,1041,1,914,359
15,False,AVL,15000,14723,1440,2203,2,2006,1279
15,False,AVL,20000,19486,2638,3885,3,3520,2977
15,False,AVL,25000,24207,4412,6030,4,5340,5615
15,False,AVL,30000,28836,7363,8616,7,7478,10296
15,False,BST,10000,9872,4,1041,2,914,4
15,False,BST,15000,14723,6,2203,3,1999,6
15,False,BST,20000,19486,8,3885,5,3425,9
